,tweet,lemma
6842,it’s not politics. it’s not an upcoming election. women are finding their voices. men too. metoo   …,"['politic', 'upcom', 'election', 'woman', 'find', 'voice', 'man']"
6843,when i was 13 i was raped by an 18 & 20 year old with details almost *exactly* like trump’s 13 yo accuser which is why i believed her after reading her complaint. i can’t even count the incidents over a lifetime. they think it’s political but it’s the metoo movement.,"['rap', 'year', 'old', 'detail', 'almost', 'exactly', 'trump', 'accuser', 'believe', 'read', 'complaint', 'even', 'count', 'incident', 'lifetime', 'think', 'political', 'movement']"
6844,it’s the  your pussy-grabbing potus has attracted all manner of pedophile and the metoo movement is bringing them to light.,"['pussy', 'grab', 'potus', 'attract', 'manner', 'pedophile', 'movement', 'bring', 'light']"
6845,metoo what happens now? how do we stop men from doing this what happens to men and women who do this they treat u like shit when u tell,"['happen', 'stop', 'man', 'happen', 'man', 'woman', 'treat', 'shit', 'tell']"
6846,thank you to those courageous women for coming forward in sharing their stories. to those who haven’t – if and when we’ll be here. metoo,"['thank', 'courageous', 'woman', 'coming_forward', 'sharing', 'story']"
6847,it’s not just hollywood. sexual harassment has gone unchecked in every industry but the era of silence is over. metoo,"['hollywood', 'sexual', 'harassment', 'go', 'unchecked', 'industry', 'era', 'silence']"
6848,1 in 5 people say a frien shared a story about sexual harassment on social media in the past month. metoo,"['people', 'say', 'share', 'story', 'sexual', 'harassment', 'social_media', 'past', 'month']"
6849,anita hill on the weinstein revelations and the metoo movement: “i have not seen something like this before.” metoo,"['anita_hill', 'weinstein', 'revelation', 'movement', 'see', 'something']"
6850,sexual harassment is an epidemic and we need to recognize it when we see it. metoo,"['sexual', 'harassment', 'epidemic', 'ne', 'recognize', 'see']"
6851,in two hours is hosting a national townhall on sexual harassment in america. you can send them your questions using metoo,"['hour', 'host', 'national', 'townhall', 'sexual', 'harassment', 'america', 'send', 'question', 'use']"
6852,tripadvisor will now start identifying hotels where reviewers say sexual assault has occurred. metoo,"['tripadvisor', 'start', 'identify', 'hotel', 'reviewer', 'say', 'sexual', 'assault', 'occur']"
6853,. is hosting a sexual harassment townhall tomorrow at 9pm et. send them your questions and solutions using metoo and well rt. please share! metoo …,"['host', 'sexual', 'harassment', 'townhall', 'tomorrow', 'pm', 'send', 'question', 'solution', 'use', 'well', 'share']"
6854,anita hill started the national dialogue around sexual harassment. she paved the way for all of us. metoo …,"['anita_hill', 'start', 'national', 'dialogue', 'sexual', 'harassment', 'pave', 'way']"
6855,"""that’s why we don’t speak up — for fear of suffering twice.""- lupita nyongo  metoo …","['speak', 'fear', 'suffer', 'twice', 'lupita', 'nyongo']"
6856,we support all the survivors speaking up at vigils across the country and with metoo and all those who can’t speak,"['support', 'survivor', 'speak', 'vigil', 'country', 'speak']"
6857,sexual harassment is an epidemic. sexual assault is an epidemic.  metoo,"['sexual', 'harassment', 'epidemic', 'sexual', 'assault', 'epidemic']"
6858,lets give credit where credit is due. pioneered metoo ten years ago. …,"['let', 'give', 'credit', 'credit', 'due', 'pioneer', 'years_ago']"
6859,"""me too."" now what? if you need help its just a call away. is there for you: 1-800-656-4673 metoo","['need', 'help', 'call', 'away']"
6860,sexual harassment and abuse is so common that most of us dont know a woman who hasnt been harassed metoo …,"['sexual', 'harassment', 'abuse', 'common', 'know', 'woman', 'harass']"
6861,metoo shows the magnitude of sexual abuse in this country. women arent lying or exaggerating. listen to us.  …,"['show', 'magnitude', 'sexual', 'abuse', 'country', 'woman', 'lie', 'exaggerate', 'listen']"
6862,beyond metoo it’s time to confront child sexual abuse  …,"['time', 'confront', 'child', 'sexual', 'abuse']"
6863,in addition to exposing perpetrators what can be done to build a culture that respects women in the workplace and beyond? metoo,"['addition', 'expose', 'perpetrator', 'do', 'build', 'culture', 'respect', 'woman', 'workplace']"
6864,as allies what concrete steps can men take to stop sexual harassment? metoo via,"['ally', 'concrete', 'step', 'man', 'take', 'stop', 'sexual', 'harassment']"
6865,proud sexual predator in the white house how do we combat sexual harassment culture in politics & media? metoo via,"['proud', 'sexual', 'predator', 'white_house', 'combat', 'sexual', 'harassment', 'culture', 'politic', 'medium']"
6866,many people dont come forward because our society doesn’t  how do we change that? metoo via,"['many', 'people', 'come_forward', 'society', 'change']"
6867,metoo did something revolutionary writes  … via,"['something', 'revolutionary_writ']"
6868,metoo did something revolutionary writes  … via,"['something', 'revolutionary_writ']"
6869,metoo if all women who’ve been sexually harasse wrote me too’as a status we might give a sense of the magnitude of the problem,"['woman', 'sexually', 'harasse', 'write', 'status', 'might_give', 'sense', 'magnitude', 'problem']"
6870,damn uma. this is some restraint. metoo …,"['damn', 'uma', 'restraint']"
6871,metoo,[]
6872,do not ever let fear stop you from sharing your voice. - metoo  via,"['ever', 'let', 'fear', 'stop', 'share', 'voice']"
6873,metoo,[]
6874,metoo,[]
6875,metoo,[]
6876,me too. metoo,[]
6877,i will not be silent no more. metoo,['silent']
6878,metoo …,[]
6879,im done for today! trump moore news. just diagusted. egotistical white trash women abusing racist pricks. metoo means more and more everyday. not sure if i should be happy or really sad about that. …,"['be', 'do', 'today', 'trump', 'moore', 'news', 'diagust', 'egotistical', 'white', 'trash', 'woman', 'abuse', 'racist', 'prick', 'mean', 'everyday', 'sure', 'happy', 'really', 'sad']"
6880,wow! the f***ing nerve! metoo is giving women and men the power to come forward and speak up. there is no time line you ignorant stupid moron! …,"['e', 'nerve', 'give', 'woman', 'man', 'power', 'come_forward', 'speak', 'time', 'line', 'ignorant', 'stupid', 'moron']"
6881,metoo so proud of all these strong amazing women coming forward and speaking up. this will allow them the closure to heal and feel free. …,"['proud', 'strong', 'amazing', 'woman', 'coming_forward', 'speak', 'allow', 'closure', 'heal', 'feel', 'free']"
6882,metoo just what we needed a women supporting college campus rapists. trump and his entire admin need to go. worthless! …,"['need', 'woman', 'support', 'college', 'campus', 'rapist', 'trump', 'entire', 'admin', 'need', 'go', 'worthless']"
6883,metoo,[]
6884,metoo,[]
6885,we must start conversation now! ask your father brothers uncles sons hubbies to share  this is on all of us! metoo,"['must', 'start', 'conversation', 'ask', 'father', 'brother', 'uncle', 'son', 'hubby', 'share']"
6886,metoo,[]
6887,me too. metoo …,[]
6888,i know too many women who have experienced sexual assault an sexual harassment. i am one of many. metoo,"['know', 'many', 'woman', 'experience', 'sexual', 'assault', 'sexual', 'harassment', 'many']"
6889,i was 5. he was drunk; my father’s best friend. i didn’t speak of it of it for 50 years. i am no longer ashamed. metoo,"['drunk', 'father', 'good', 'friend', 'speak', 'year', 'longer', 'ashamed']"
6890,metoo,[]
6891,my metoo was my bos of a small grocery del lottery was mobbedn up (fact) & extremely wealthy i was silent bc i was afraid,"['bos', 'small', 'grocery', 'lottery', 'mobbedn', 'fact', 'extremely', 'wealthy', 'silent', 'bc', 'afraid']"
6892,metoo,[]
6893,"i had kids. i couldnt be a good mom if i wasnt healthy emotionally and mentally. they were way too important! i had to be""present"". metoo","['kid', 'good', 'mom', 'healthy', 'emotionally', 'mentally', 'way', 'important', 'present']"
6894,i grew up in the same general area...my abuse started around 2-3. so.much.therapy.  metoo,"['grow', 'general', 'area', 'abuse', 'start', 'much', 'therapy']"
6895,metoo metoo metoo metoo,[]
6896,metoo,[]
6897,in saying metoo alyssa milano pushes awareness campaign about sexual assault and harassment,"['say', 'alyssa_milano', 'push', 'awareness', 'campaign', 'sexual', 'assault', 'harassment']"
6898,metoo add the guilt i feel from the inability to stop sexual harassment from happening to my daughters then explain why and what to do,"['add', 'guilt', 'feel', 'inability', 'stop', 'sexual', 'harassment', 'happen', 'daughter', 'explain']"
6899,metoo and the scale of sexual abuse,"['scale', 'sexual', 'abuse']"
6900,harvey weinstein and his abhorrent behavior towards women sure is getting a lot of attention and metoo is...,"['harvey_weinstein', 'abhorrent', 'behavior', 'woman', 'sure', 'get', 'lot', 'attention']"
6901,metoo,[]
6902,it’s time to stop feeling afraid ashamed and guilty. metoo,"['time', 'stop', 'feel', 'afraid', 'ashamed', 'guilty']"
6903,many times it’s someone you know who takes full advantage of your trust and friendship. metoo,"['many', 'time', 'someone', 'know', 'take', 'full', 'advantage', 'trust', 'friendship']"
6904,i love you ladies. we are aloud to speak up and stand up. we are not alone. metoo,"['love', 'lady', 'aloud', 'speak', 'stand', 'alone']"
6905,metoo …,[]
6906,metoo …,[]
6907,i just had that experience... did it for the first time just now and am quite surprised at how hard it was & how weird i feel now. metoo,"['experience', 'first', 'time', 'quite', 'surprise', 'hard', 'weird', 'feel']"
6908,well heres some goodish news... roy price resigns. bye bye asshole! one down hundreds more to go... metoo …,"['well', 'here', 'goodish', 'news', 'roy', 'price', 'resign', 'asshole', 'hundred', 'go']"
6909,metoo,[]
6910,metoo,[]
6911,metoo,[]
6912,yes metoo because it’s already happening to my 15 year old daughter. nice ass hey baby wanna f**k.,"['already', 'happen', 'year', 'old', 'daughter', 'nice', 'ass', 'baby', 'wanna']"
6913,metoo,[]
6914,since the 70s metoo  …,[]
6915,its amazing what happens when boys are actually taught to respect women. metoo,"['amazing', 'happen', 'boy', 'actually', 'teach', 'respect', 'woman']"
6916,its amazing what happens when boys are actually taught to respect women. metoo,"['amazing', 'happen', 'boy', 'actually', 'teach', 'respect', 'woman']"
6917,its amazing what happens when boys are actually taught to respect women. metoo,"['amazing', 'happen', 'boy', 'actually', 'teach', 'respect', 'woman']"
6918,its amazing what happens when boys are actually taught to respect women. metoo rtpic.,"['amazing', 'happen', 'boy', 'actually', 'teach', 'respect', 'woman', 'rtpic']"
6919,donald trump is a repeat sex offender who calls himself the victim its time hes held accountable i support metoo,"['donald_trump', 'repeat', 'sex', 'offender', 'call', 'victim', 'time', 's', 'hold', 'accountable', 'support']"
6920,metoo,[]
6921,(i think im late but) metoo,"['think', 'be', 'late']"
6922,"metoo women who have been sexually harassed or assaulted wrote ""me too"" people will sense the magnitude of the problem. cop","['woman', 'sexually_harass', 'assault', 'write', 'people', 'sense', 'magnitude', 'problem', 'cop']"
6923,thank you metoo,['thank']
6924,metoo just some of the bigger events in my 49 years.  …,"['big', 'event', 'year']"
6925,i dont talk about it because i still feel like i will be blamed for it. metoo,"['talk', 'still', 'feel', 'blame']"
6926,metoo as a come on & through the less discussed sexual harassment of having a boss who hates women. lets not forget that.,"['come', 'less', 'discuss', 'sexual', 'harassment', 'boss', 'hat', 'woman', 'let', 'forget']"
6927,if the metoo movement had an anthem it should be be still by powerful song for survivors to hear. check it out,"['movement', 'anthem', 'still', 'powerful', 'song', 'survivor', 'hear', 'check']"
6928,metoo,[]
6929,9 yrs later. im still waiting for the day when i will be able to trust again love again feel safe again & be me again. metoo,"['yrs', 'later', 'be', 'still', 'wait', 'day', 'able', 'trust', 'love', 'feel', 'safe']"
6930,to all the survivors of sexual harassment & assault i stand with you. know that you are valued & believed & your stories matter. metoo,"['survivor', 'sexual', 'harassment', 'assault', 'stand', 'know', 'value', 'believed', 'story', 'matter']"
6931,metoo ive had a few abusive relationships but these 2 were the scariest.pic.,"['have', 'abusive', 'relationship', 'scary', 'pic']"
6932,as a man anything id say about metoo sounds like the excuse it is by …,"['man', 'anything', 'would', 'say', 'sound', 'excuse']"
6933,metoo continues to bring awareness to the issue of sexual assault and sexual abuse. wonderful interview on good...,"['continue', 'bring', 'awareness', 'issue', 'sexual', 'assault', 'sexual', 'abuse', 'wonderful', 'interview', 'good']"
6934,thank you anna m. tinsley and the fort worth star-telegram for continuing to bring awareness to the metoo,"['thank', 'tinsley', 'fort', 'worth', 'star', 'telegram', 'continue', 'bring', 'awareness']"
6935,exactly right! none of these people have ever went thru the abuse or humiliation... metoo,"['exactly', 'right', 'none', 'people', 'ever', 'go', 'abuse', 'humiliation']"
6936,metoo,[]
6937,metoo,[]
6938,"me too. if all who have been sexually harassed or assaulted tweeted ""me too "" people may get the magnitude of the problem. metoo","['sexually_harass', 'assault', 'tweet', 'people', 'may', 'get', 'magnitude', 'problem']"
6939,metoo,[]
6940,metoo,[]
6941,"you need to also start a metoo for all the women effected by oreilly like because really ""pay off people"" why because you want to be number 1 really mr oreilly your a pig i am ashamed i ever watched your show at all i stand by","['ne', 'also', 'start', 'woman', 'effect', 'oreilly', 'really', 'pay', 'people', 'want', 'number', 'really', 'oreilly', 'pig', 'ashamed', 'ever', 'watch', 'show', 'stand']"
6942,yes metoo as well on a date at age 21 attacked and i still stand strongpic.,"['date', 'age', 'attack', 'still', 'stand', 'strongpic']"
6943,metoo i was attacked by someone i knew on a date at 21 for years i thought it was my fault but it wasnt he had no right. i thank you for opening a door,"['attack', 'someone', 'know', 'date', 'year', 'think', 'fault', 'right', 'thank', 'open', 'door']"
6944,i am so sorry you (she) suffered in this way. thank you for being brave and lending your voice to the movement. metoo,"['suffer', 'way', 'thank', 'brave', 'lending', 'voice', 'movement']"
6945,metoo,[]
6946,metoo,[]
6947,after the harvey weinstein scandal women at u.s. statehouses are saying metoo - time …,"['harvey_weinstein', 'scandal', 'woman', 'statehous', 'say', 'time']"
6948,metoo,[]
6949,there are so many metoo tags in my timeline. men: we must do better. we must not encourage or cover for shit behavior. much love to all,"['many', 'tag', 'timeline', 'man', 'must', 'better', 'must', 'encourage', 'cover', 'shit', 'behavior', 'much', 'love']"
6950,metoo,[]
6951,yes me too. metoo,[]
6952,metoo,[]
6953,i have students who tell the same stories. i have dozens of friends from my college years who have the same stories. metoo …,"['student', 'tell', 'story', 'dozen', 'friend', 'college', 'year', 'story']"
6954,metoo,[]
6955,metoo …,[]
6956,metoo …,[]
6957,metoo its ruined my life emotionally and physically...,"['ruin', 'life', 'emotionally', 'physically']"
6958,metoo,[]
6959,metoo,[]
6960,metoo,[]
6961,metoo,[]
6962,metoo,[]
6963,metoo,[]
6964,metoo,[]
6965,metoo sexual assault &amp; sports via …,"['sexual', 'assault', 'amp', 'sport']"
6966,metoo,[]
6967,metoo,[]
6968,neshamas share their metoo stories  … via,"['neshama', 'share', 'story']"
6969,here goes... metoo not rape. improper advances were made. twice. never told anyone. and yeah didn’t feel i would be believed.,"['go', 'rape', 'improper', 'advance', 'make', 'twice', 'never', 'tell', 'anyone', 'feel', 'would', 'believe']"
6970,metoo …,[]
6971,metoo,[]
6972,i always think it was my fault. should have said no. should have told someone. metoo,"['always', 'think', 'fault', 'say', 'tell', 'someone']"
6973,"reactions of men to metoo are ""interesting"". some comments say we are liars because they dont harass women. sorry","['reaction', 'man', 'interesting', 'comment', 'say', 'liar', 'harass', 'woman', 'sorry']"
6974,every time i readmetoo i envision the lighting of another candle. we bring light to the darkness.,"['time', 'read', 'envision', 'light', 'candle', 'bring', 'light', 'darkness']"
6975,it seems to be a silent bond that many have with others. metoo,"['seem', 'silent', 'bond', 'many', 'other']"
6976,first time i was sexually assaulted i was a 6th grade crossing guard. man pulled up and exposed himself to me. the fear was real metoo,"['first', 'time', 'sexually', 'assault', 'th_grade', 'crossing', 'guard', 'man', 'pull', 'expose', 'fear', 'real']"
6977,metoo if everyone who has been sexually harassed or assaulted posted this we might give people a sense of the magnitude of the problem.,"['everyone', 'sexually_harass', 'assault', 'post', 'might_give', 'people', 'sense', 'magnitude', 'problem']"
6978,a stranger thought i was playing hard to get...he thought it was cute...he felt initled to my attention and body. metoo,"['strange', 'think', 'play', 'hard', 'get', 'think', 'cute', 'feel', 'initl', 'attention', 'body']"
6979,metoo until everyone understands that no means no until i never have to worry that i will be followed home from a bar again cont..,"['everyone', 'understand', 'mean', 'never', 'worry', 'follow', 'home', 'bar', 'cont']"
6980,because as it turns out he wasn’t actually asking... metoo,"['turn', 'actually', 'ask']"
6981,metoo undergoing emdr for ptsd. therapy does help.  …,"['undergo', 'emdr', 'ptsd', 'therapy', 'help']"
6982,metoo reported it told the burden of proof was on me. his friends called me a slut (some still do 30 years later) i dont talk about it.,"['report', 'tell', 'burden', 'proof', 'friend', 'call', 'slut', 'still', 'year', 'later', 'talk']"
6983,metoo,[]
6984,friend’s husband assaulted me in my sleep. asked by wife to host him while he was in town 4 work.he told me he watched me sleep first metoo,"['friend', 'husband', 'assault', 'sleep', 'ask', 'wife', 'host', 'town', 'work', 'tell', 'watch', 'sleep', 'first']"
6985,metoo,[]
6986,metoo,[]
6987,metoo,[]
6988,100+ gymnasts have accused the same monster of sexual assault but this piece of garbage right here has an opinion on survivors. metoo …,"['gymnast', 'accuse', 'monster', 'sexual', 'assault', 'piece', 'garbage', 'right', 'opinion', 'survivor']"
6989,metoo,[]
6990,metoo and you’re right we don’t wish it on our worst enemy. always worrying always anxious,"['right', 'wish', 'bad', 'enemy', 'always', 'worry', 'always', 'anxious']"
6991,hands clapping thank you my dear ! metoo since many moons ago! …,"['hand', 'clap', 'thank', 'dear', 'many', 'moon', 'ago']"
6992,metoo plus  i wonder if sexual assault survivors are more prone to miscarriages than those that are not.,"['wonder', 'sexual', 'assault', 'survivor', 'prone', 'miscarriage']"
6993,this is where the focus should be. metoo …,['focus']
6994,my work days dont seem to line up with my other days. can this be treated? metoo,"['work', 'day', 'seem', 'line', 'day', 'treat']"
6995,metoo …,[]
6996,good am. lets turn this day into something substantial more than just another  ... lets build. lets win. metoo,"['good', 'let', 'turn', 'day', 'something', 'substantial', 'let', 'build', 'let', 'win']"
6997,i think sadly sexual harassment is inevitable if youve been in the world for a certain amount of time. not right but true. metoo,"['think', 'sadly', 'sexual', 'harassment', 'have', 'world', 'certain', 'amount', 'time', 'right', 'true']"
6998,i think when work is creative in its essence you bring your real self & experiences to it & that makes you more vulnerable. metoo,"['think', 'work', 'creative', 'essence', 'bring', 'real', 'self', 'experience', 'make', 'vulnerable']"
6999,metoo,[]
7000,-- metoo,[]
7001,it’s not just women either. me too. metoo,"['woman', 'either']"
7002,metoo,[]
7003,metoo,[]
7004,harvey weinstein’s fall opens the floodgates in hollywood metoo and my sisters,"['harvey_weinstein', 'fall', 'open', 'floodgate', 'hollywood', 'sister']"
7005,metoo forgot to hashtag,"['forget', 'hashtag']"
7006,in crowds at work just walking just standing just living. metoo,"['crowd', 'work', 'walk', 'stand', 'living']"
7007,metoo,[]
7008,6th grade. i was playing in front of my house with my friends. guy in car stopped & asked for directions. we yelled at him & he drove off. still disgustingly vivid after 43 years. metoo,"['th_grade', 'play', 'front', 'house', 'friend', 'guy', 'car', 'stop', 'ask', 'direction', 'yell', 'drive', 'still', 'disgustingly', 'vivid', 'year']"
7009,metoo,[]
7010,metoo,[]
7011,nothing’s changed. 1 more metoo means zilch to montana judge. repeated sex assaults of girl. sentence=probation.  …,"['nothing', 'change', 'mean', 'zilch', 'montana', 'judge', 'repeat', 'sex', 'assault', 'girl', 'sentence', 'probation']"
7012,metoo,[]
7013,metoo,[]
7014,metoo dated him for almost a year and still was sexually abused for months after,"['date', 'almost', 'year', 'still', 'sexually', 'abused', 'month']"
7015,i want to  for always standing up for whats  everything from  to  to metoo,"['want', 'always', 'stand', 'what', 's', 'everything']"
7016,i am a  metoo inspires me to share my story: i was sexually abused many times. the 1st time i was 6 months old. the 2nd: i...pic.,"['inspire', 'share', 'story', 'sexually', 'abuse', 'many', 'time', 'time', 'month', 'old', 'pic']"
7017,metoo it happened in various forms from when i was in diapers until i was about 4 or 5. it was my step-brother.,"['happen', 'various', 'form', 'diaper', 'step', 'brother']"
7018,"they didnt come forward for the same reason i never told an adult that the boys on my high school coed cheer squad spent practices talking about my breasts. it would have been brushed aside as ""boys will be boys."" metoo …","['come_forward', 'reason', 'never', 'tell', 'adult', 'boy', 'high_school', 'coed', 'cheer', 'squad', 'spend', 'practice', 'talk', 'breast', 'would', 'brush', 'boy', 'boy']"
7019,me too. metoo,[]
7020,metoo,[]
7021,metoo child hood sex abuse survivor,"['child', 'hood', 'sex', 'abuse', 'survivor']"
7022,metoo,[]
7023,metoo,[]
7024,and on and on it goes... metoo …,['go']
7025,she explained why. if it were me id want to prevent him from gaining more power too. you cant possibly comprehend how it feels to go thru such things. go read some of the metoo entries. unless youre mind is closed or you just dont give a shit about sex as a power tool?,"['explain', 'would', 'want', 'prevent', 'gain', 'power', 'possibly', 'comprehend', 'feel', 'go', 'thing', 'go', 'read', 'entry', 'be', 'mind', 'close', 'give', 'shit', 'sex', 'power', 'tool']"
7026,thanks for speaking up about this. i was barely 14 from a newly divorced home vulnerable and subjected to older male attentions. metoo your acim book greatly aided my journey of emotional healing from such injuries. journey continues,"['thank', 'speak', 'barely', 'newly', 'divorce', 'home', 'vulnerable', 'subject', 'old', 'male', 'attention', 'book', 'greatly', 'aid', 'journey', 'emotional', 'healing', 'injury', 'journey', 'continue']"
7027,metoo,[]
7028,im part of the metoo as well and didnt understand id been an actual victim till way grown-up with several sick relationships behind me.,"['be', 'part', 'well', 'understand', 'would', 'actual', 'victim', 'way', 'grow', 'several', 'sick', 'relationship']"
7029,"as woman i could ""deal  (sorta) but as at 14 i was the 30+ yr old guys playthin u?/ metoo","['woman', 'could', 'deal', 'sorta', 'yr_old', 'guy', 'playthin']"
7030,thats bcoz hes never been a 14yr old girl whos vulnerable naive & lonel theres always karma 4 next life/ metoo,"['s', 'bcoz', 's', 'never', 'yr_old', 'girl', 'who', 's', 'vulnerable', 'naive', 'lonel', 'there', 's', 'always', 'karma', 'next', 'life']"
7031,poor lil gu and cries fou i cant be impartial having been that 14yr old girl metoo,"['poor', 'lil', 'cry', 'fou', 'impartial', 'yr_old', 'girl']"
